balanced 0 test_flag 0
[1] Ep10000: 1803 steps (0.0005 hrs) 13 sec, Max 1803 steps
[2] Ep10000: 2023 steps (0.0006 hrs) 12 sec, Max 2023 steps
[3] Ep10000: 1258 steps (0.0003 hrs) 12 sec, Max 2023 steps
[4] Ep10000: 2320 steps (0.0006 hrs) 26 sec, Max 2320 steps
[5] Ep10000: 1839 steps (0.0005 hrs) 20 sec, Max 2320 steps
[6] Ep10000: 1944 steps (0.0005 hrs) 21 sec, Max 2320 steps
[7] Ep10000: 8110 steps (0.0023 hrs) 28 sec, Max 8110 steps
[8] Ep10000: 2415 steps (0.0007 hrs) 15 sec, Max 8110 steps
[9] Ep10000: 1817 steps (0.0005 hrs) 18 sec, Max 8110 steps
[10] Ep10000: 1973 steps (0.0005 hrs) 21 sec, Max 8110 steps
[11] Ep10000: 2258 steps (0.0006 hrs) 22 sec, Max 8110 steps
[12] Ep10000: 2132 steps (0.0006 hrs) 25 sec, Max 8110 steps
[13] Ep10000: 2777 steps (0.0008 hrs) 28 sec, Max 8110 steps
[14] Ep10000: 1777 steps (0.0005 hrs) 14 sec, Max 8110 steps
[15] Ep10000: 2175 steps (0.0006 hrs) 25 sec, Max 8110 steps
[16] Ep10000: 2222 steps (0.0006 hrs) 25 sec, Max 8110 steps
[17] Ep10000: 2157 steps (0.0006 hrs) 25 sec, Max 8110 steps
[18] Ep10000: 2523 steps (0.0007 hrs) 14 sec, Max 8110 steps
[19] Ep10000: 2006 steps (0.0006 hrs) 21 sec, Max 8110 steps
[20] Ep10000: 2704 steps (0.0008 hrs) 26 sec, Max 8110 steps
[21] Ep10000: 2196 steps (0.0006 hrs) 19 sec, Max 8110 steps
[22] Ep10000: 2085 steps (0.0006 hrs) 23 sec, Max 8110 steps
[23] Ep10000: 1941 steps (0.0005 hrs) 22 sec, Max 8110 steps
[24] Ep10000: 2420 steps (0.0007 hrs) 22 sec, Max 8110 steps
[25] Ep10000: 2353 steps (0.0007 hrs) 25 sec, Max 8110 steps
[26] Ep10000: 2590 steps (0.0007 hrs) 26 sec, Max 8110 steps
[27] Ep10000: 2553 steps (0.0007 hrs) 25 sec, Max 8110 steps
[28] Ep10000: 1905 steps (0.0005 hrs) 23 sec, Max 8110 steps
[29] Ep10000: 2186 steps (0.0006 hrs) 19 sec, Max 8110 steps
[30] Ep10000: 2156 steps (0.0006 hrs) 25 sec, Max 8110 steps
[31] Ep10000: 1160 steps (0.0003 hrs) 11 sec, Max 8110 steps
[32] Ep10000: 2179 steps (0.0006 hrs) 25 sec, Max 8110 steps
[33] Ep10000: 2639 steps (0.0007 hrs) 26 sec, Max 8110 steps
[34] Ep10000: 1769 steps (0.0005 hrs) 21 sec, Max 8110 steps
[35] Ep10000: 2218 steps (0.0006 hrs) 26 sec, Max 8110 steps
[36] Ep10000: 2033 steps (0.0006 hrs) 25 sec, Max 8110 steps
[37] Ep10000: 2107 steps (0.0006 hrs) 19 sec, Max 8110 steps
[38] Ep10000: 2071 steps (0.0006 hrs) 17 sec, Max 8110 steps
[39] Ep10000: 1939 steps (0.0005 hrs) 20 sec, Max 8110 steps
[40] Ep10000: 2297 steps (0.0006 hrs) 25 sec, Max 8110 steps
[41] Ep10000: 1900 steps (0.0005 hrs) 20 sec, Max 8110 steps
[42] Ep10000: 1828 steps (0.0005 hrs) 16 sec, Max 8110 steps
[43] Ep10000: 1933 steps (0.0005 hrs) 20 sec, Max 8110 steps
[44] Ep10000: 1245 steps (0.0003 hrs) 13 sec, Max 8110 steps
[45] Ep10000: 1545 steps (0.0004 hrs) 13 sec, Max 8110 steps
[46] Ep10000: 1805 steps (0.0005 hrs) 25 sec, Max 8110 steps
[47] Ep10000: 2139 steps (0.0006 hrs) 27 sec, Max 8110 steps
[48] Ep10000: 1301 steps (0.0004 hrs) 14 sec, Max 8110 steps
[49] Ep10000: 2250 steps (0.0006 hrs) 21 sec, Max 8110 steps
[50] Ep10000: 1676 steps (0.0005 hrs) 27 sec, Max 8110 steps
[51] Ep10000: 2072 steps (0.0006 hrs) 29 sec, Max 8110 steps
[52] Ep10000: 2945 steps (0.0008 hrs) 24 sec, Max 8110 steps
[53] Ep10000: 2234 steps (0.0006 hrs) 30 sec, Max 8110 steps
[54] Ep10000: 2125 steps (0.0006 hrs) 31 sec, Max 8110 steps
[55] Ep10000: 2066 steps (0.0006 hrs) 28 sec, Max 8110 steps
[56] Ep10000: 2108 steps (0.0006 hrs) 24 sec, Max 8110 steps
[57] Ep10000: 1706 steps (0.0005 hrs) 20 sec, Max 8110 steps
[58] Ep10000: 2107 steps (0.0006 hrs) 31 sec, Max 8110 steps
[59] Ep10000: 1179 steps (0.0003 hrs) 13 sec, Max 8110 steps
[60] Ep10000: 1726 steps (0.0005 hrs) 24 sec, Max 8110 steps
[61] Ep10000: 2341 steps (0.0007 hrs) 24 sec, Max 8110 steps
[62] Ep10000: 2578 steps (0.0007 hrs) 29 sec, Max 8110 steps
[63] Ep10000: 2273 steps (0.0006 hrs) 29 sec, Max 8110 steps
[64] Ep10000: 1096 steps (0.0003 hrs) 13 sec, Max 8110 steps
