balanced 0 test_flag 0
[Run 1] Ep10000: 2000 steps (0.0006 hrs) 10 sec, Max 2000 steps
[Run 2] Ep10000: 3587 steps (0.0010 hrs) 11 sec, Max 3587 steps
[Run 3] Ep10000: 2418 steps (0.0007 hrs) 10 sec, Max 3587 steps
[Run 4] Ep10000: 2135 steps (0.0006 hrs) 11 sec, Max 3587 steps
[Run 5] Ep10000: 3894 steps (0.0011 hrs) 12 sec, Max 3894 steps
[Run 6] Ep10000: 5521 steps (0.0015 hrs) 18 sec, Max 5521 steps
[Run 7] Ep10000: 1968 steps (0.0005 hrs) 11 sec, Max 5521 steps
[Run 8] Ep10000: 1995 steps (0.0006 hrs) 10 sec, Max 5521 steps
[Run 9] Ep10000: 2274 steps (0.0006 hrs) 11 sec, Max 5521 steps
[Run 10] Ep10000: 2671 steps (0.0007 hrs) 11 sec, Max 5521 steps
[Run 11] Ep10000: 1825 steps (0.0005 hrs) 10 sec, Max 5521 steps
[Run 12] Ep10000: 3043 steps (0.0008 hrs) 12 sec, Max 5521 steps
[Run 13] Ep10000: 2635 steps (0.0007 hrs) 10 sec, Max 5521 steps
[Run 14] Ep10000: 1953 steps (0.0005 hrs) 10 sec, Max 5521 steps
[Run 15] Ep10000: 2099 steps (0.0006 hrs) 9 sec, Max 5521 steps
[Run 16] Ep10000: 2583 steps (0.0007 hrs) 11 sec, Max 5521 steps
[Run 17] Ep10000: 2307 steps (0.0006 hrs) 10 sec, Max 5521 steps
[Run 18] Ep10000: 2052 steps (0.0006 hrs) 11 sec, Max 5521 steps
[Run 19] Ep10000: 5855 steps (0.0016 hrs) 12 sec, Max 5855 steps
[Run 20] Ep10000: 2072 steps (0.0006 hrs) 10 sec, Max 5855 steps
[Run 21] Ep10000: 3926 steps (0.0011 hrs) 10 sec, Max 5855 steps
[Run 22] Ep10000: 2142 steps (0.0006 hrs) 10 sec, Max 5855 steps
[Run 23] Ep10000: 2059 steps (0.0006 hrs) 10 sec, Max 5855 steps
[Run 24] Ep10000: 2428 steps (0.0007 hrs) 9 sec, Max 5855 steps
[Run 25] Ep10000: 2993 steps (0.0008 hrs) 10 sec, Max 5855 steps
[Run 26] Ep10000: 5349 steps (0.0015 hrs) 11 sec, Max 5855 steps
[Run 27] Ep10000: 2257 steps (0.0006 hrs) 10 sec, Max 5855 steps
[Run 28] Ep10000: 2039 steps (0.0006 hrs) 10 sec, Max 5855 steps
[Run 29] Ep10000: 2261 steps (0.0006 hrs) 10 sec, Max 5855 steps
[Run 30] Ep10000: 2352 steps (0.0007 hrs) 10 sec, Max 5855 steps
[Run 31] Ep10000: 4000 steps (0.0011 hrs) 11 sec, Max 5855 steps
[Run 32] Ep10000: 2073 steps (0.0006 hrs) 10 sec, Max 5855 steps
[Run 33] Ep10000: 2057 steps (0.0006 hrs) 10 sec, Max 5855 steps
[Run 34] Ep10000: 1982 steps (0.0006 hrs) 10 sec, Max 5855 steps
[Run 35] Ep10000: 1983 steps (0.0006 hrs) 10 sec, Max 5855 steps
[Run 36] Ep10000: 2617 steps (0.0007 hrs) 10 sec, Max 5855 steps
[Run 37] Ep10000: 1820 steps (0.0005 hrs) 10 sec, Max 5855 steps
[Run 38] Ep10000: 2321 steps (0.0006 hrs) 10 sec, Max 5855 steps
[Run 39] Ep10000: 2176 steps (0.0006 hrs) 11 sec, Max 5855 steps
[Run 40] Ep10000: 2178 steps (0.0006 hrs) 10 sec, Max 5855 steps
[Run 41] Ep10000: 2400 steps (0.0007 hrs) 9 sec, Max 5855 steps
[Run 42] Ep10000: 4860 steps (0.0014 hrs) 13 sec, Max 5855 steps
[Run 43] Ep10000: 2354 steps (0.0007 hrs) 9 sec, Max 5855 steps
[Run 44] Ep10000: 2450 steps (0.0007 hrs) 9 sec, Max 5855 steps
[Run 45] Ep10000: 2280 steps (0.0006 hrs) 9 sec, Max 5855 steps
[Run 46] Ep10000: 2278 steps (0.0006 hrs) 10 sec, Max 5855 steps
[Run 47] Ep10000: 3970 steps (0.0011 hrs) 10 sec, Max 5855 steps
[Run 48] Ep10000: 2210 steps (0.0006 hrs) 11 sec, Max 5855 steps
[Run 49] Ep10000: 1754 steps (0.0005 hrs) 10 sec, Max 5855 steps
[Run 50] Ep10000: 2010 steps (0.0006 hrs) 11 sec, Max 5855 steps
[Run 51] Ep10000: 2500 steps (0.0007 hrs) 9 sec, Max 5855 steps
[Run 52] Ep10000: 2824 steps (0.0008 hrs) 10 sec, Max 5855 steps
[Run 53] Ep10000: 2361 steps (0.0007 hrs) 10 sec, Max 5855 steps
[Run 54] Ep10000: 2218 steps (0.0006 hrs) 10 sec, Max 5855 steps
[Run 55] Ep10000: 2044 steps (0.0006 hrs) 11 sec, Max 5855 steps
[Run 56] Ep10000: 2223 steps (0.0006 hrs) 10 sec, Max 5855 steps
[Run 57] Ep10000: 5659 steps (0.0016 hrs) 12 sec, Max 5855 steps
[Run 58] Ep10000: 2018 steps (0.0006 hrs) 10 sec, Max 5855 steps
[Run 59] Ep10000: 2411 steps (0.0007 hrs) 10 sec, Max 5855 steps
[Run 60] Ep10000: 2028 steps (0.0006 hrs) 10 sec, Max 5855 steps
[Run 61] Ep10000: 2640 steps (0.0007 hrs) 10 sec, Max 5855 steps
[Run 62] Ep10000: 2408 steps (0.0007 hrs) 10 sec, Max 5855 steps
[Run 63] Ep10000: 2371 steps (0.0007 hrs) 10 sec, Max 5855 steps
[Run 64] Ep10000: 2427 steps (0.0007 hrs) 10 sec, Max 5855 steps
[Run 65] Ep10000: 2277 steps (0.0006 hrs) 10 sec, Max 5855 steps
[Run 66] Ep10000: 2026 steps (0.0006 hrs) 10 sec, Max 5855 steps
[Run 67] Ep10000: 2679 steps (0.0007 hrs) 11 sec, Max 5855 steps
[Run 68] Ep10000: 2374 steps (0.0007 hrs) 11 sec, Max 5855 steps
[Run 69] Ep10000: 2177 steps (0.0006 hrs) 10 sec, Max 5855 steps
[Run 70] Ep10000: 1960 steps (0.0005 hrs) 11 sec, Max 5855 steps
[Run 71] Ep10000: 2436 steps (0.0007 hrs) 10 sec, Max 5855 steps
[Run 72] Ep10000: 3005 steps (0.0008 hrs) 10 sec, Max 5855 steps
[Run 73] Ep10000: 2749 steps (0.0008 hrs) 10 sec, Max 5855 steps
[Run 74] Ep10000: 6436 steps (0.0018 hrs) 16 sec, Max 6436 steps
[Run 75] Ep10000: 2363 steps (0.0007 hrs) 10 sec, Max 6436 steps
[Run 76] Ep10000: 2189 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 77] Ep10000: 2074 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 78] Ep10000: 4239 steps (0.0012 hrs) 12 sec, Max 6436 steps
[Run 79] Ep10000: 2248 steps (0.0006 hrs) 8 sec, Max 6436 steps
[Run 80] Ep10000: 2421 steps (0.0007 hrs) 10 sec, Max 6436 steps
[Run 81] Ep10000: 5632 steps (0.0016 hrs) 13 sec, Max 6436 steps
[Run 82] Ep10000: 1916 steps (0.0005 hrs) 10 sec, Max 6436 steps
[Run 83] Ep10000: 2179 steps (0.0006 hrs) 11 sec, Max 6436 steps
[Run 84] Ep10000: 2031 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 85] Ep10000: 3035 steps (0.0008 hrs) 9 sec, Max 6436 steps
[Run 86] Ep10000: 2471 steps (0.0007 hrs) 11 sec, Max 6436 steps
[Run 87] Ep10000: 2198 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 88] Ep10000: 2873 steps (0.0008 hrs) 11 sec, Max 6436 steps
[Run 89] Ep10000: 1987 steps (0.0006 hrs) 11 sec, Max 6436 steps
[Run 90] Ep10000: 2435 steps (0.0007 hrs) 10 sec, Max 6436 steps
[Run 91] Ep10000: 2199 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 92] Ep10000: 2144 steps (0.0006 hrs) 11 sec, Max 6436 steps
[Run 93] Ep10000: 1740 steps (0.0005 hrs) 9 sec, Max 6436 steps
[Run 94] Ep10000: 2456 steps (0.0007 hrs) 10 sec, Max 6436 steps
[Run 95] Ep10000: 2120 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 96] Ep10000: 3223 steps (0.0009 hrs) 10 sec, Max 6436 steps
[Run 97] Ep10000: 3644 steps (0.0010 hrs) 10 sec, Max 6436 steps
[Run 98] Ep10000: 2587 steps (0.0007 hrs) 10 sec, Max 6436 steps
[Run 99] Ep10000: 1928 steps (0.0005 hrs) 10 sec, Max 6436 steps
[Run 100] Ep10000: 2018 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 101] Ep10000: 2123 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 102] Ep10000: 4814 steps (0.0013 hrs) 14 sec, Max 6436 steps
[Run 103] Ep10000: 2248 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 104] Ep10000: 3790 steps (0.0011 hrs) 10 sec, Max 6436 steps
