balanced 0 test_flag 0
[1] Ep10000: 2568 steps (0.0007 hrs) 10 sec, Max 2568 steps
[2] Ep10000: 2268 steps (0.0006 hrs) 9 sec, Max 2568 steps
[3] Ep10000: 2747 steps (0.0008 hrs) 12 sec, Max 2747 steps
[4] Ep10000: 3036 steps (0.0008 hrs) 10 sec, Max 3036 steps
[5] Ep10000: 2276 steps (0.0006 hrs) 11 sec, Max 3036 steps
[6] Ep10000: 1952 steps (0.0005 hrs) 10 sec, Max 3036 steps
[7] Ep10000: 2553 steps (0.0007 hrs) 9 sec, Max 3036 steps
[8] Ep10000: 2403 steps (0.0007 hrs) 11 sec, Max 3036 steps
[9] Ep10000: 1410 steps (0.0004 hrs) 2 sec, Max 3036 steps
[10] Ep10000: 1764 steps (0.0005 hrs) 3 sec, Max 3036 steps
[11] Ep10000: 2188 steps (0.0006 hrs) 11 sec, Max 3036 steps
[12] Ep10000: 1938 steps (0.0005 hrs) 9 sec, Max 3036 steps
[13] Ep10000: 1670 steps (0.0005 hrs) 2 sec, Max 3036 steps
[14] Ep10000: 1344 steps (0.0004 hrs) 2 sec, Max 3036 steps
[15] Ep10000: 1498 steps (0.0004 hrs) 3 sec, Max 3036 steps
[16] Ep10000: 2226 steps (0.0006 hrs) 12 sec, Max 3036 steps
[17] Ep10000: 1986 steps (0.0006 hrs) 11 sec, Max 3036 steps
[18] Ep10000: 1707 steps (0.0005 hrs) 11 sec, Max 3036 steps
[19] Ep10000: 2215 steps (0.0006 hrs) 9 sec, Max 3036 steps
[20] Ep10000: 2366 steps (0.0007 hrs) 11 sec, Max 3036 steps
[21] Ep10000: 3218 steps (0.0009 hrs) 11 sec, Max 3218 steps
[22] Ep10000: 2911 steps (0.0008 hrs) 11 sec, Max 3218 steps
[23] Ep10000: 1571 steps (0.0004 hrs) 4 sec, Max 3218 steps
[24] Ep10000: 2215 steps (0.0006 hrs) 10 sec, Max 3218 steps
[25] Ep10000: 1923 steps (0.0005 hrs) 10 sec, Max 3218 steps
[26] Ep10000: 2266 steps (0.0006 hrs) 12 sec, Max 3218 steps
[27] Ep10000: 2560 steps (0.0007 hrs) 8 sec, Max 3218 steps
[28] Ep10000: 1655 steps (0.0005 hrs) 6 sec, Max 3218 steps
[29] Ep10000: 2217 steps (0.0006 hrs) 12 sec, Max 3218 steps
[30] Ep10000: 2318 steps (0.0006 hrs) 12 sec, Max 3218 steps
[31] Ep10000: 2057 steps (0.0006 hrs) 11 sec, Max 3218 steps
[32] Ep10000: 2608 steps (0.0007 hrs) 11 sec, Max 3218 steps
[33] Ep10000: 3024 steps (0.0008 hrs) 10 sec, Max 3218 steps
[34] Ep10000: 2538 steps (0.0007 hrs) 8 sec, Max 3218 steps
[35] Ep10000: 1934 steps (0.0005 hrs) 10 sec, Max 3218 steps
[36] Ep10000: 1243 steps (0.0003 hrs) 2 sec, Max 3218 steps
[37] Ep10000: 1902 steps (0.0005 hrs) 7 sec, Max 3218 steps
[38] Ep10000: 1918 steps (0.0005 hrs) 2 sec, Max 3218 steps
[39] Ep10000: 2136 steps (0.0006 hrs) 11 sec, Max 3218 steps
[40] Ep10000: 2341 steps (0.0007 hrs) 11 sec, Max 3218 steps
[41] Ep10000: 3395 steps (0.0009 hrs) 11 sec, Max 3395 steps
[42] Ep10000: 2349 steps (0.0007 hrs) 13 sec, Max 3395 steps
[43] Ep10000: 2420 steps (0.0007 hrs) 11 sec, Max 3395 steps
[44] Ep10000: 2336 steps (0.0006 hrs) 10 sec, Max 3395 steps
[45] Ep10000: 2106 steps (0.0006 hrs) 4 sec, Max 3395 steps
[46] Ep10000: 1921 steps (0.0005 hrs) 7 sec, Max 3395 steps
[47] Ep10000: 2200 steps (0.0006 hrs) 6 sec, Max 3395 steps
[48] Ep10000: 2149 steps (0.0006 hrs) 11 sec, Max 3395 steps
[49] Ep10000: 1619 steps (0.0004 hrs) 2 sec, Max 3395 steps
[50] Ep10000: 2305 steps (0.0006 hrs) 11 sec, Max 3395 steps
[51] Ep10000: 1962 steps (0.0005 hrs) 7 sec, Max 3395 steps
[52] Ep10000: 2870 steps (0.0008 hrs) 9 sec, Max 3395 steps
[53] Ep10000: 1797 steps (0.0005 hrs) 7 sec, Max 3395 steps
[54] Ep10000: 1626 steps (0.0005 hrs) 6 sec, Max 3395 steps
[55] Ep10000: 2383 steps (0.0007 hrs) 10 sec, Max 3395 steps
[56] Ep10000: 1933 steps (0.0005 hrs) 9 sec, Max 3395 steps
[57] Ep10000: 2229 steps (0.0006 hrs) 10 sec, Max 3395 steps
[58] Ep10000: 2757 steps (0.0008 hrs) 8 sec, Max 3395 steps
[59] Ep10000: 2381 steps (0.0007 hrs) 8 sec, Max 3395 steps
[60] Ep10000: 1639 steps (0.0005 hrs) 3 sec, Max 3395 steps
[61] Ep10000: 2172 steps (0.0006 hrs) 10 sec, Max 3395 steps
[62] Ep10000: 2517 steps (0.0007 hrs) 7 sec, Max 3395 steps
[63] Ep10000: 2090 steps (0.0006 hrs) 11 sec, Max 3395 steps
[64] Ep10000: 2855 steps (0.0008 hrs) 11 sec, Max 3395 steps
[65] Ep10000: 2389 steps (0.0007 hrs) 11 sec, Max 3395 steps
[66] Ep10000: 2677 steps (0.0007 hrs) 8 sec, Max 3395 steps
[67] Ep10000: 2099 steps (0.0006 hrs) 9 sec, Max 3395 steps
[68] Ep10000: 2384 steps (0.0007 hrs) 11 sec, Max 3395 steps
[69] Ep10000: 1289 steps (0.0004 hrs) 2 sec, Max 3395 steps
[70] Ep10000: 3451 steps (0.0010 hrs) 8 sec, Max 3451 steps
[71] Ep10000: 2347 steps (0.0007 hrs) 11 sec, Max 3451 steps
[72] Ep10000: 1294 steps (0.0004 hrs) 1 sec, Max 3451 steps
[73] Ep10000: 657956 steps (0.1828 hrs) 18 sec, Max 657956 steps
[74] Ep10000: 2679 steps (0.0007 hrs) 7 sec, Max 657956 steps
[75] Ep10000: 2283 steps (0.0006 hrs) 11 sec, Max 657956 steps
[76] Ep10000: 1883 steps (0.0005 hrs) 2 sec, Max 657956 steps
[77] Ep10000: 2585 steps (0.0007 hrs) 11 sec, Max 657956 steps
[78] Ep10000: 2770 steps (0.0008 hrs) 11 sec, Max 657956 steps
[79] Ep10000: 1823 steps (0.0005 hrs) 11 sec, Max 657956 steps
[80] Ep10000: 2204 steps (0.0006 hrs) 11 sec, Max 657956 steps
[81] Ep10000: 9981 steps (0.0028 hrs) 13 sec, Max 657956 steps
[82] Ep10000: 2751 steps (0.0008 hrs) 12 sec, Max 657956 steps
[83] Ep10000: 1806 steps (0.0005 hrs) 7 sec, Max 657956 steps
[84] Ep10000: 956 steps (0.0003 hrs) 2 sec, Max 657956 steps
[85] Ep10000: 2303 steps (0.0006 hrs) 11 sec, Max 657956 steps
[86] Ep10000: 2227 steps (0.0006 hrs) 11 sec, Max 657956 steps
[87] Ep10000: 1915 steps (0.0005 hrs) 10 sec, Max 657956 steps
[88] Ep10000: 2042 steps (0.0006 hrs) 11 sec, Max 657956 steps
[89] Ep10000: 5250 steps (0.0015 hrs) 10 sec, Max 657956 steps
[90] Ep10000: 2447 steps (0.0007 hrs) 12 sec, Max 657956 steps
[91] Ep10000: 2653 steps (0.0007 hrs) 11 sec, Max 657956 steps
[92] Ep10000: 2215 steps (0.0006 hrs) 10 sec, Max 657956 steps
[93] Ep10000: 2111 steps (0.0006 hrs) 11 sec, Max 657956 steps
[94] Ep10000: 2269 steps (0.0006 hrs) 11 sec, Max 657956 steps
[95] Ep10000: 2328 steps (0.0006 hrs) 11 sec, Max 657956 steps
[96] Ep10000: 4349 steps (0.0012 hrs) 9 sec, Max 657956 steps
[97] Ep10000: 2735 steps (0.0008 hrs) 10 sec, Max 657956 steps
[98] Ep10000: 2164 steps (0.0006 hrs) 11 sec, Max 657956 steps
[99] Ep10000: 2185 steps (0.0006 hrs) 10 sec, Max 657956 steps
[100] Ep10000: 2552 steps (0.0007 hrs) 9 sec, Max 657956 steps
[101] Ep10000: 1907 steps (0.0005 hrs) 7 sec, Max 657956 steps
[102] Ep10000: 2749 steps (0.0008 hrs) 11 sec, Max 657956 steps
[103] Ep10000: 1691 steps (0.0005 hrs) 2 sec, Max 657956 steps
[104] Ep10000: 2013 steps (0.0006 hrs) 10 sec, Max 657956 steps
[105] Ep10000: 2167 steps (0.0006 hrs) 11 sec, Max 657956 steps
[106] Ep4919 balanced for 3600000 steps (1.0000 hrs). 39 sec, Max 3600000 steps
Wrote current weights to latest.weights
Total Elapsed time: 974 seconds
Wrote current data to latest.train
