balanced 0 test_flag 0
[Run 1] Ep10000: 2013 steps (0.0006 hrs) 11 sec, Max 2013 steps
[Run 2] Ep10000: 3065 steps (0.0009 hrs) 25 sec, Max 3065 steps
[Run 3] Ep10000: 1824 steps (0.0005 hrs) 13 sec, Max 3065 steps
[Run 4] Ep10000: 2305 steps (0.0006 hrs) 23 sec, Max 3065 steps
[Run 5] Ep10000: 1404 steps (0.0004 hrs) 11 sec, Max 3065 steps
[Run 6] Ep10000: 1539 steps (0.0004 hrs) 14 sec, Max 3065 steps
[Run 7] Ep10000: 2377 steps (0.0007 hrs) 12 sec, Max 3065 steps
[Run 8] Ep10000: 1750 steps (0.0005 hrs) 17 sec, Max 3065 steps
[Run 9] Ep10000: 3340 steps (0.0009 hrs) 26 sec, Max 3340 steps
[Run 10] Ep10000: 2402 steps (0.0007 hrs) 23 sec, Max 3340 steps
[Run 11] Ep10000: 35880 steps (0.0100 hrs) 27 sec, Max 35880 steps
[Run 12] Ep10000: 2752 steps (0.0008 hrs) 25 sec, Max 35880 steps
[Run 13] Ep10000: 1547 steps (0.0004 hrs) 15 sec, Max 35880 steps
[Run 14] Ep10000: 1680 steps (0.0005 hrs) 11 sec, Max 35880 steps
[Run 15] Ep10000: 1807 steps (0.0005 hrs) 14 sec, Max 35880 steps
[Run 16] Ep10000: 1946 steps (0.0005 hrs) 19 sec, Max 35880 steps
[Run 17] Ep10000: 2259 steps (0.0006 hrs) 12 sec, Max 35880 steps
[Run 18] Ep10000: 2816 steps (0.0008 hrs) 18 sec, Max 35880 steps
[Run 19] Ep10000: 2548 steps (0.0007 hrs) 21 sec, Max 35880 steps
[Run 20] Ep10000: 2009 steps (0.0006 hrs) 17 sec, Max 35880 steps
[Run 21] Ep10000: 2055 steps (0.0006 hrs) 15 sec, Max 35880 steps
[Run 22] Ep10000: 1700 steps (0.0005 hrs) 15 sec, Max 35880 steps
[Run 23] Ep10000: 2401 steps (0.0007 hrs) 24 sec, Max 35880 steps
[Run 24] Ep10000: 1596 steps (0.0004 hrs) 12 sec, Max 35880 steps
[Run 25] Ep10000: 10719 steps (0.0030 hrs) 24 sec, Max 35880 steps
[Run 26] Ep10000: 2127 steps (0.0006 hrs) 16 sec, Max 35880 steps
[Run 27] Ep10000: 15270 steps (0.0042 hrs) 51 sec, Max 35880 steps
[Run 28] Ep10000: 2036 steps (0.0006 hrs) 13 sec, Max 35880 steps
[Run 29] Ep10000: 2009 steps (0.0006 hrs) 15 sec, Max 35880 steps
[Run 30] Ep10000: 1870 steps (0.0005 hrs) 15 sec, Max 35880 steps
[Run 31] Ep10000: 4073 steps (0.0011 hrs) 20 sec, Max 35880 steps
[Run 32] Ep10000: 2709 steps (0.0008 hrs) 21 sec, Max 35880 steps
[Run 33] Ep10000: 1931 steps (0.0005 hrs) 18 sec, Max 35880 steps
[Run 34] Ep10000: 1744 steps (0.0005 hrs) 14 sec, Max 35880 steps
[Run 35] Ep10000: 1790 steps (0.0005 hrs) 13 sec, Max 35880 steps
[Run 36] Ep10000: 2176 steps (0.0006 hrs) 25 sec, Max 35880 steps
[Run 37] Ep10000: 2085 steps (0.0006 hrs) 12 sec, Max 35880 steps
[Run 38] Ep10000: 3370 steps (0.0009 hrs) 23 sec, Max 35880 steps
[Run 39] 
