balanced 0 test_flag 0
[1] Ep10000: 2083 steps (0.0006 hrs) 25 sec, Max 2083 steps
[2] Ep10000: 2162 steps (0.0006 hrs) 24 sec, Max 2162 steps
[3] Ep10000: 1603 steps (0.0004 hrs) 19 sec, Max 2162 steps
[4] Ep10000: 8498 steps (0.0024 hrs) 26 sec, Max 8498 steps
[5] Ep10000: 1690 steps (0.0005 hrs) 18 sec, Max 8498 steps
[6] Ep10000: 1771 steps (0.0005 hrs) 18 sec, Max 8498 steps
[7] Ep10000: 2184 steps (0.0006 hrs) 25 sec, Max 8498 steps
[8] Ep10000: 1831 steps (0.0005 hrs) 18 sec, Max 8498 steps
[9] Ep10000: 4756 steps (0.0013 hrs) 27 sec, Max 8498 steps
[10] Ep10000: 1918 steps (0.0005 hrs) 18 sec, Max 8498 steps
[11] Ep10000: 5597 steps (0.0016 hrs) 28 sec, Max 8498 steps
[12] Ep10000: 1663 steps (0.0005 hrs) 17 sec, Max 8498 steps
[13] Ep10000: 1935 steps (0.0005 hrs) 18 sec, Max 8498 steps
[14] Ep10000: 1606 steps (0.0004 hrs) 19 sec, Max 8498 steps
[15] Ep10000: 3219 steps (0.0009 hrs) 23 sec, Max 8498 steps
[16] Ep10000: 1940 steps (0.0005 hrs) 17 sec, Max 8498 steps
[17] Ep10000: 1927 steps (0.0005 hrs) 19 sec, Max 8498 steps
[18] Ep10000: 1713 steps (0.0005 hrs) 19 sec, Max 8498 steps
[19] Ep10000: 1867 steps (0.0005 hrs) 19 sec, Max 8498 steps
[20] Ep10000: 2079 steps (0.0006 hrs) 25 sec, Max 8498 steps
[21] Ep10000: 1717 steps (0.0005 hrs) 18 sec, Max 8498 steps
[22] Ep10000: 1978 steps (0.0005 hrs) 18 sec, Max 8498 steps
[23] Ep10000: 2234 steps (0.0006 hrs) 25 sec, Max 8498 steps
[24] Ep10000: 1915 steps (0.0005 hrs) 20 sec, Max 8498 steps
[25] Ep10000: 2114 steps (0.0006 hrs) 17 sec, Max 8498 steps
[26] Ep10000: 4709 steps (0.0013 hrs) 31 sec, Max 8498 steps
