balanced 0 test_flag 0
[Run 1] Ep10000: 1538 steps (0.0004 hrs) 14 sec, Max 1538 steps
[Run 2] Ep10000: 2338 steps (0.0006 hrs) 16 sec, Max 2338 steps
[Run 3] Ep10000: 1848 steps (0.0005 hrs) 13 sec, Max 2338 steps
[Run 4] Ep10000: 1735 steps (0.0005 hrs) 12 sec, Max 2338 steps
[Run 5] Ep10000: 2014 steps (0.0006 hrs) 23 sec, Max 2338 steps
[Run 6] Ep10000: 270718 steps (0.0752 hrs) 31 sec, Max 270718 steps
[Run 7] Ep10000: 2959 steps (0.0008 hrs) 21 sec, Max 270718 steps
[Run 8] Ep10000: 7953 steps (0.0022 hrs) 28 sec, Max 270718 steps
[Run 9] Ep10000: 3809 steps (0.0011 hrs) 20 sec, Max 270718 steps
[Run 10] Ep10000: 2183 steps (0.0006 hrs) 14 sec, Max 270718 steps
[Run 11] Ep10000: 2994 steps (0.0008 hrs) 24 sec, Max 270718 steps
[Run 12] Ep10000: 1755 steps (0.0005 hrs) 11 sec, Max 270718 steps
[Run 13] Ep10000: 1993 steps (0.0006 hrs) 14 sec, Max 270718 steps
[Run 14] Ep10000: 2547 steps (0.0007 hrs) 18 sec, Max 270718 steps
[Run 15] Ep10000: 1853 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 16] Ep10000: 2149 steps (0.0006 hrs) 18 sec, Max 270718 steps
[Run 17] Ep10000: 2175 steps (0.0006 hrs) 18 sec, Max 270718 steps
[Run 18] Ep10000: 2180 steps (0.0006 hrs) 14 sec, Max 270718 steps
[Run 19] Ep10000: 2317 steps (0.0006 hrs) 24 sec, Max 270718 steps
[Run 20] Ep10000: 2367 steps (0.0007 hrs) 11 sec, Max 270718 steps
[Run 21] Ep10000: 2791 steps (0.0008 hrs) 20 sec, Max 270718 steps
[Run 22] Ep10000: 1770 steps (0.0005 hrs) 11 sec, Max 270718 steps
[Run 23] Ep10000: 1757 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 24] Ep10000: 4176 steps (0.0012 hrs) 16 sec, Max 270718 steps
[Run 25] Ep10000: 2292 steps (0.0006 hrs) 12 sec, Max 270718 steps
[Run 26] Ep10000: 1868 steps (0.0005 hrs) 12 sec, Max 270718 steps
[Run 27] Ep10000: 1992 steps (0.0006 hrs) 15 sec, Max 270718 steps
[Run 28] Ep10000: 2152 steps (0.0006 hrs) 13 sec, Max 270718 steps
[Run 29] Ep10000: 180666 steps (0.0502 hrs) 35 sec, Max 270718 steps
[Run 30] Ep10000: 2168 steps (0.0006 hrs) 18 sec, Max 270718 steps
[Run 31] Ep10000: 2034 steps (0.0006 hrs) 13 sec, Max 270718 steps
[Run 32] Ep10000: 2125 steps (0.0006 hrs) 14 sec, Max 270718 steps
[Run 33] Ep10000: 2382 steps (0.0007 hrs) 24 sec, Max 270718 steps
[Run 34] Ep10000: 1826 steps (0.0005 hrs) 11 sec, Max 270718 steps
[Run 35] Ep10000: 2902 steps (0.0008 hrs) 24 sec, Max 270718 steps
[Run 36] Ep10000: 1587 steps (0.0004 hrs) 12 sec, Max 270718 steps
[Run 37] Ep10000: 1611 steps (0.0004 hrs) 12 sec, Max 270718 steps
[Run 38] Ep10000: 1810 steps (0.0005 hrs) 13 sec, Max 270718 steps
[Run 39] Ep10000: 3327 steps (0.0009 hrs) 23 sec, Max 270718 steps
[Run 40] Ep10000: 1374 steps (0.0004 hrs) 10 sec, Max 270718 steps
[Run 41] Ep10000: 2556 steps (0.0007 hrs) 24 sec, Max 270718 steps
[Run 42] Ep10000: 2278 steps (0.0006 hrs) 24 sec, Max 270718 steps
[Run 43] Ep10000: 1967 steps (0.0005 hrs) 13 sec, Max 270718 steps
[Run 44] Ep10000: 2198 steps (0.0006 hrs) 17 sec, Max 270718 steps
[Run 45] Ep10000: 2310 steps (0.0006 hrs) 23 sec, Max 270718 steps
[Run 46] Ep10000: 1672 steps (0.0005 hrs) 11 sec, Max 270718 steps
[Run 47] Ep10000: 2275 steps (0.0006 hrs) 15 sec, Max 270718 steps
[Run 48] Ep10000: 2434 steps (0.0007 hrs) 14 sec, Max 270718 steps
[Run 49] Ep10000: 2010 steps (0.0006 hrs) 18 sec, Max 270718 steps
[Run 50] Ep10000: 2207 steps (0.0006 hrs) 13 sec, Max 270718 steps
[Run 51] Ep10000: 5594 steps (0.0016 hrs) 26 sec, Max 270718 steps
[Run 52] Ep10000: 2420 steps (0.0007 hrs) 24 sec, Max 270718 steps
[Run 53] Ep10000: 19618 steps (0.0054 hrs) 51 sec, Max 270718 steps
[Run 54] Ep10000: 3109 steps (0.0009 hrs) 21 sec, Max 270718 steps
[Run 55] Ep10000: 2387 steps (0.0007 hrs) 24 sec, Max 270718 steps
[Run 56] Ep10000: 6724 steps (0.0019 hrs) 43 sec, Max 270718 steps
[Run 57] Ep10000: 3839 steps (0.0011 hrs) 19 sec, Max 270718 steps
[Run 58] Ep10000: 2253 steps (0.0006 hrs) 22 sec, Max 270718 steps
[Run 59] Ep10000: 1563 steps (0.0004 hrs) 13 sec, Max 270718 steps
[Run 60] Ep10000: 2405 steps (0.0007 hrs) 24 sec, Max 270718 steps
[Run 61] Ep10000: 2092 steps (0.0006 hrs) 24 sec, Max 270718 steps
[Run 62] Ep10000: 3895 steps (0.0011 hrs) 20 sec, Max 270718 steps
[Run 63] Ep10000: 2211 steps (0.0006 hrs) 22 sec, Max 270718 steps
[Run 64] Ep10000: 2250 steps (0.0006 hrs) 17 sec, Max 270718 steps
[Run 65] Ep10000: 2302 steps (0.0006 hrs) 13 sec, Max 270718 steps
[Run 66] Ep10000: 1942 steps (0.0005 hrs) 13 sec, Max 270718 steps
[Run 67] Ep10000: 1534 steps (0.0004 hrs) 11 sec, Max 270718 steps
[Run 68] Ep10000: 1844 steps (0.0005 hrs) 12 sec, Max 270718 steps
[Run 69] Ep10000: 2033 steps (0.0006 hrs) 17 sec, Max 270718 steps
[Run 70] Ep10000: 7603 steps (0.0021 hrs) 30 sec, Max 270718 steps
[Run 71] Ep10000: 1720 steps (0.0005 hrs) 13 sec, Max 270718 steps
[Run 72] Ep10000: 2234 steps (0.0006 hrs) 24 sec, Max 270718 steps
[Run 73] Ep10000: 1810 steps (0.0005 hrs) 15 sec, Max 270718 steps
[Run 74] Ep10000: 2652 steps (0.0007 hrs) 23 sec, Max 270718 steps
[Run 75] Ep10000: 2107 steps (0.0006 hrs) 19 sec, Max 270718 steps
[Run 76] Ep10000: 2330 steps (0.0006 hrs) 24 sec, Max 270718 steps
[Run 77] Ep10000: 2544 steps (0.0007 hrs) 22 sec, Max 270718 steps
[Run 78] Ep10000: 2017 steps (0.0006 hrs) 17 sec, Max 270718 steps
