balanced 0 test_flag 0
[1] Ep10000: 2450 steps (0.0007 hrs) 24 sec, Max 2450 steps
[2] Ep10000: 2049 steps (0.0006 hrs) 16 sec, Max 2450 steps
[3] Ep10000: 2589 steps (0.0007 hrs) 27 sec, Max 2589 steps
[4] Ep10000: 2339 steps (0.0006 hrs) 16 sec, Max 2589 steps
[5] Ep10000: 1392 steps (0.0004 hrs) 13 sec, Max 2589 steps
[6] Ep10000: 2224 steps (0.0006 hrs) 28 sec, Max 2589 steps
[7] Ep10000: 1848 steps (0.0005 hrs) 13 sec, Max 2589 steps
[8] Ep10000: 2054 steps (0.0006 hrs) 14 sec, Max 2589 steps
[9] Ep10000: 1651 steps (0.0005 hrs) 12 sec, Max 2589 steps
[10] Ep10000: 2326 steps (0.0006 hrs) 28 sec, Max 2589 steps
[11] Ep10000: 1746 steps (0.0005 hrs) 14 sec, Max 2589 steps
[12] Ep10000: 2772 steps (0.0008 hrs) 14 sec, Max 2772 steps
[13] Ep10000: 2303 steps (0.0006 hrs) 25 sec, Max 2772 steps
[14] Ep10000: 1498 steps (0.0004 hrs) 14 sec, Max 2772 steps
[15] Ep10000: 1929 steps (0.0005 hrs) 16 sec, Max 2772 steps
[16] Ep10000: 2225 steps (0.0006 hrs) 28 sec, Max 2772 steps
[17] Ep10000: 2976 steps (0.0008 hrs) 23 sec, Max 2976 steps
[18] Ep10000: 2527 steps (0.0007 hrs) 28 sec, Max 2976 steps
[19] Ep10000: 4490 steps (0.0012 hrs) 22 sec, Max 4490 steps
[20] Ep10000: 2489 steps (0.0007 hrs) 14 sec, Max 4490 steps
[21] Ep10000: 1925 steps (0.0005 hrs) 22 sec, Max 4490 steps
[22] Ep10000: 1686 steps (0.0005 hrs) 14 sec, Max 4490 steps
[23] Ep10000: 8936 steps (0.0025 hrs) 33 sec, Max 8936 steps
[24] Ep10000: 2435 steps (0.0007 hrs) 24 sec, Max 8936 steps
[25] Ep10000: 2613 steps (0.0007 hrs) 28 sec, Max 8936 steps
[26] Ep10000: 1224 steps (0.0003 hrs) 12 sec, Max 8936 steps
[27] Ep10000: 1948 steps (0.0005 hrs) 28 sec, Max 8936 steps
[28] Ep10000: 3546 steps (0.0010 hrs) 32 sec, Max 8936 steps
[29] Ep10000: 1889 steps (0.0005 hrs) 38 sec, Max 8936 steps
[30] Ep10000: 1793 steps (0.0005 hrs) 17 sec, Max 8936 steps
[31] Ep10000: 2866 steps (0.0008 hrs) 23 sec, Max 8936 steps
[32] Ep10000: 1670 steps (0.0005 hrs) 22 sec, Max 8936 steps
[33] Ep10000: 13683 steps (0.0038 hrs) 57 sec, Max 13683 steps
[34] Ep10000: 2157 steps (0.0006 hrs) 29 sec, Max 13683 steps
[35] Ep10000: 2221 steps (0.0006 hrs) 34 sec, Max 13683 steps
[36] Ep10000: 2620 steps (0.0007 hrs) 22 sec, Max 13683 steps
[37] Ep10000: 2195 steps (0.0006 hrs) 38 sec, Max 13683 steps
[38] Ep10000: 2229 steps (0.0006 hrs) 13 sec, Max 13683 steps
[39] Ep10000: 1819 steps (0.0005 hrs) 28 sec, Max 13683 steps
[40] Ep10000: 2419 steps (0.0007 hrs) 43 sec, Max 13683 steps
[41] Ep10000: 1810 steps (0.0005 hrs) 16 sec, Max 13683 steps
