balanced 0 test_flag 0
[1] Ep10000: 3188 steps (0.0009 hrs) 26 sec, Max 3188 steps
[2] Ep10000: 2396 steps (0.0007 hrs) 25 sec, Max 3188 steps
[3] Ep10000: 2001 steps (0.0006 hrs) 16 sec, Max 3188 steps
[4] Ep10000: 1893 steps (0.0005 hrs) 17 sec, Max 3188 steps
[5] Ep10000: 1868 steps (0.0005 hrs) 15 sec, Max 3188 steps
[6] Ep10000: 1803 steps (0.0005 hrs) 17 sec, Max 3188 steps
[7] Ep10000: 2481 steps (0.0007 hrs) 17 sec, Max 3188 steps
[8] Ep10000: 1656 steps (0.0005 hrs) 16 sec, Max 3188 steps
[9] Ep10000: 2350 steps (0.0007 hrs) 24 sec, Max 3188 steps
[10] Ep10000: 1803 steps (0.0005 hrs) 16 sec, Max 3188 steps
[11] Ep10000: 3168 steps (0.0009 hrs) 30 sec, Max 3188 steps
[12] Ep10000: 1810 steps (0.0005 hrs) 15 sec, Max 3188 steps
[13] Ep10000: 4148 steps (0.0012 hrs) 18 sec, Max 4148 steps
[14] Ep10000: 6135 steps (0.0017 hrs) 27 sec, Max 6135 steps
[15] Ep10000: 2454 steps (0.0007 hrs) 17 sec, Max 6135 steps
[16] Ep10000: 2085 steps (0.0006 hrs) 16 sec, Max 6135 steps
[17] Ep10000: 2329 steps (0.0006 hrs) 16 sec, Max 6135 steps
[18] Ep10000: 5654 steps (0.0016 hrs) 18 sec, Max 6135 steps
[19] Ep10000: 1808 steps (0.0005 hrs) 17 sec, Max 6135 steps
[20] Ep10000: 2337 steps (0.0006 hrs) 16 sec, Max 6135 steps
[21] Ep10000: 6380 steps (0.0018 hrs) 26 sec, Max 6380 steps
[22] Ep10000: 1781 steps (0.0005 hrs) 18 sec, Max 6380 steps
[23] Ep10000: 13149 steps (0.0037 hrs) 34 sec, Max 13149 steps
[24] Ep10000: 1591 steps (0.0004 hrs) 16 sec, Max 13149 steps
[25] Ep10000: 1675 steps (0.0005 hrs) 17 sec, Max 13149 steps
